Id,Predicted
candidate11,0.12376504
candidate13,1
candidate15,0
candidate17,0.999882
candidate22,1
candidate26,0
candidate33,0.99221545
candidate40,0.9990897
candidate42,0.68907046
candidate49,0.919565
candidate56,0.633888
candidate59,0.9791058
candidate60,0.09334661
candidate68,0.9220658
candidate75,0.78566813
candidate76,0.43414792
candidate77,0.35162476
candidate79,0.34997857
candidate85,0.8428817
candidate99,0.80495757
candidate100,0.23446287
candidate103,0.97580373
candidate107,0.9616369
candidate108,0.9922964
candidate112,0.99998415
candidate116,0.96138597
candidate117,0.18207787
candidate118,0.51716614
candidate128,0.19653258
candidate129,0.046826478
candidate132,0.99885654
candidate137,0.97533154
candidate144,0.8261024
candidate146,0.11253281
candidate149,0.9976513
candidate165,0.9999372
candidate167,0.9872442
candidate170,0.6520221
candidate174,0.9928155
candidate178,0.02371691
candidate189,0.7060137
candidate191,0.98182446
candidate194,0.99471575
candidate195,0.9993548
candidate197,0.11576694
candidate201,0.33231917
candidate204,0.99983
candidate223,0.98239315
candidate239,0.11945179
candidate251,0.023407482
candidate252,0.95284474
candidate259,0.9998945
candidate264,0.99990153
candidate268,0.48186773
candidate274,0.99869776
candidate275,0.96006125
candidate278,0.044475995
candidate284,0.8911343
candidate286,0.99957114
candidate290,0.99660873
candidate300,0.9881093
candidate301,0.41199157
candidate302,0.10451249
candidate309,0.7865707
candidate312,0.97482514
candidate329,0.9707389
candidate333,0.184974
candidate344,0.9980939
candidate346,0.15423103
candidate348,1
candidate354,0.9986041
candidate357,0.041071314
candidate360,0.59429294
candidate363,0.99385744
candidate368,0.99998057
candidate373,0.99994946
candidate384,0.99999225
candidate390,0.9292689
candidate394,0.3344116
candidate396,0.6140362
candidate397,0.16672197
candidate398,0.0641135
candidate402,0.15505874
candidate403,0.36844078
candidate412,0.8181053
candidate424,0.05969558
candidate427,0.12645489
candidate431,0.046483554
candidate439,0.06503391
candidate440,0.63473064
candidate450,0.22474454
candidate451,0.20904912
candidate455,0.87629944
candidate456,0.0908082
candidate458,0.90775007
candidate459,0.017697163
candidate463,0.92019814
candidate466,0.95521647
candidate483,0.99997413
candidate486,0.5257335
candidate489,0.9143753
candidate491,0.8661953
candidate493,0.9993044
candidate498,0.71716386
candidate499,0.26403525
candidate502,0.083616644
candidate509,0.9986798
candidate513,0.9999937
candidate524,1
candidate530,0.9999175
candidate544,0.99855953
candidate556,0.16677846
candidate563,0.9990434
candidate564,0.999813
candidate565,0.026505942
candidate580,0.9701811
candidate582,0.48066095
